_id,DATA,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,endereco_cruzamento,numero_cruzamento,referencia_cruzamento,bairro_cruzamento,num_semaforo,sentido_via,tipo,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
1,2019-01-01T00:00:00,00:41:00,SEM VÍTIMA,FINALIZADA,IPSEP,AV RECIFE,"","",LADO OPOSTO AO Nº 3257,AV RECIFE,"",LADO OPOSTO AO Nº 3257,IPSEP,,SUBURBIO,COLISÃO TRASEIRA,"ART.181, OBSTRUÇÃO DE ENTRADA E SAÍDA DE GARAGEM DO CONDOMINIO",2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,60 km/h,Única,Faixa seccionada,"",""
2,2019-01-01T00:00:00,01:37:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA PADRE BERNADINO PESSOA,"",RUA MINISTRO NELSON HUNGRIA,"",RUA PADRE BERNADINO PESSOA,"","",BOA VIAGEM,,"",ABALROAMENTO TRANSVERSAL,COLISÃO ENTRE DOIS AUTOS S/V,2,,,,,,,,,0,,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,"",Única,Não existe,"",""
3,2019-01-01T00:00:00,14:20:00,SEM VÍTIMA,CANCELADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,"",RUA DOM JOSE LOPES,"EM FRENTE A DELEGACIA DE BOA VIAGEM, LADO ESQUERDO DA PISTA",AV ENGENHEIRO DOMINGOS FERREIRA,"","EM FRENTE A DELEGACIA DE BOA VIAGEM, LADO ESQUERDO DA PISTA",BOA VIAGEM,,"",COLISÃO,COLISÃO ENTRE DOIS AUTOS S/V,2,,,,,,,,,0,,"","","","","","","","","","","","",""
4,2019-01-01T00:00:00,02:53:00,SEM VÍTIMA,CANCELADA,IMBIRIBEIRA,AV GENERAL MAC ARTHUR,100,RUA JACY,EM FRENTE A ART LED ILUMINAÇÃO,AV GENERAL MAC ARTHUR,100,EM FRENTE A ART LED ILUMINAÇÃO,IMBIRIBEIRA,,"",COLISÃO,COLISÃO ENTRE DOIS AUTOS S/V,2,,,,,,,,,0,,"","","","","","","","","","","","",""
5,2019-01-01T00:00:00,08:17:00,COM VÍTIMA,FINALIZADA,JAQUEIRA,RUA TITO ROSAS,63,"",ED. JARDINS DA JAQUEIRA,RUA TITO ROSAS,63,ED. JARDINS DA JAQUEIRA,JAQUEIRA,,SUBURBIO,COLISÃO COM CICLISTA,COLISÃO ENVOLVENDO ÔNIBUS E BICICLETA COM VÍTIMA. EQUIPE DEPAROU-SE COM O ACIDENTE.,,,,1,,1,,,,1,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,40 km/h,Única,Faixa seccionada,"",""
6,2019-01-01T00:00:00,09:30:00,COM VÍTIMA,FINALIZADA,IBURA,AV DOIS RIOS,1392,"",IBURA DE BAIXO EM FRENTE A IGREJA PAZ E VIDA,AV DOIS RIOS,1392,IBURA DE BAIXO EM FRENTE A IGREJA PAZ E VIDA,IBURA,,SUBURBIO,COLISÃO FRONTAL,COLISÃO VITIMAS SOCORRIDAS PELO SAMU,1,1,,,,,,,,2,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,30 km/h,Dupla,Faixa contínua,"",""
7,2019-01-01T00:00:00,09:54:00,COM VÍTIMA,FINALIZADA,SAN MARTIN,AV GENERAL SAN MARTIN,1622,"",APÓS AO BATLHÃO DE CAVALARIA DA PMPE,AV GENERAL SAN MARTIN,1622,APÓS AO BATLHÃO DE CAVALARIA DA PMPE,SAN MARTIN,,SUBURBIO,CHOQUE OBJETO FIXO,VEICULO SE CHOCOU COM UM MURO -D 619237,1,,,,,,,,,4,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Outros,R-6a,40 km/h,Única,Faixa contínua,"",""
8,2019-01-01T00:00:00,13:05:00,SEM VÍTIMA,FINALIZADA,BONGI,EST DO BONGI,290,"",EM FRENTE A OFICINA DA FIORI,EST DO BONGI,290,EM FRENTE A OFICINA DA FIORI,BONGI,,SUBURBIO,CHOQUE VEÍCULO PARADO,COLISÃO SEM VITIMAS/ O VEICULO ESTA EMBAIXO DA CARRETA,1,,,,,,1,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,"",Dupla,Faixa contínua,"",""
9,2019-01-01T00:00:00,15:50:00,SEM VÍTIMA,FINALIZADA,MADALENA,EST DOS REMEDIOS,2360,"",E/F A PB AUTOMOVEIS MULTIMARCAS,EST DOS REMEDIOS,2360,E/F A PB AUTOMOVEIS MULTIMARCAS,MADALENA,353,CIDADE,COLISÃO TRASEIRA,COLISAO ENTRE DOIS AUTOS S/V,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,"",Única,Faixa contínua,"",""
10,2019-01-01T00:00:00,16:01:00,COM VÍTIMA,CANCELADA,CAMPO GRANDE,EST DE BELEM,"","",E/F A IGREJA UNIVERSAL NO ANTIGO TERMINAL DE CAMPO GRANDE,EST DE BELEM,"",E/F A IGREJA UNIVERSAL NO ANTIGO TERMINAL DE CAMPO GRANDE,CAMPO GRANDE,,"",ATROPELAMENTO,"",1,,,,,,,,,1,,"","","","","","","","","","","","",""
